material_id,material_name,strength,weight_capacity,cost,biodegradibility_score,co2_score,recyclability_percentage
1,Thin Paper Wrap,1,5,2,8,3,85
2,Lightweight Kraft Paper,1,6,2,8,3,88
3,Paper Cushioning Sheets,1,7,3,8,3,90
4,Cellulose Padding,1,6,3,8,3,80
5,Compostable Film,1,5,4,9,3,45
6,Paperboard,2,12,4,7,4,88
7,Corrugated Cardboard,2,15,4,8,3,90
8,Kraft Paper,2,10,3,8,3,92
9,Paper Foam,2,14,5,7,4,75
10,Sugarcane Bagasse,2,12,4,9,3,85
11,Mushroom Packaging,2,10,6,9,2,80
12,Palm Leaf Packaging,2,14,4,9,2,82
13,Areca Leaf Packaging,2,14,4,9,3,88
14,Bamboo Fiber Packaging,3,22,6,8,3,85
15,Molded Pulp,3,20,5,9,2,95
16,Honeycomb Cardboard,3,25,5,8,3,90
17,BioComposite Board,3,22,6,7,4,70
18,PLA Bioplastic,3,18,6,8,5,60
19,PLA Film,2,12,5,8,5,55
20,Starch-Based Plastic,2,14,5,7,4,50
21,Cellulose Film,2,12,5,8,3,60
22,BioFoam,2,14,6,7,4,55
23,Natural Fiber Mat,2,18,5,8,3,75
24,Recycled PET,3,25,7,3,6,70
25,PET Plastic,3,30,7,2,7,65
26,HDPE Plastic,3,32,6,2,7,70
27,LDPE Plastic,2,20,5,2,7,55
28,Reusable Plastic Crate,3,40,7,1,6,85
29,Aluminum,3,35,7,1,8,95
30,Recycled Aluminum,3,35,6,1,5,98
31,Steel,3,45,8,1,9,90
32,Recycled Steel,3,45,7,1,6,95
33,Glass,3,40,8,1,8,90
34,Recycled Glass,3,40,7,1,6,95
35,Wooden Crate,3,45,6,6,4,70
36,Plywood Box,3,40,6,6,4,65
37,MDF Board,3,35,6,3,6,50
38,Particle Board,2,28,5,4,6,55
39,Fiber Drum,3,30,6,7,4,85
40,Paper Tube,2,18,4,8,3,88
41,Paper Edge Protector,2,20,4,8,3,90
42,Eco Carton,2,16,4,8,3,85
43,Fiber Clamshell,2,14,4,8,3,85
44,Plant-Based Tray,2,15,4,9,3,88
45,Seaweed Film,1,5,6,9,2,45
46,Starch Wrap,1,6,4,9,3,50
47,Thin Jute Fabric,1,7,3,8,3,70
48,Paper Laminate Sheet,1,6,4,7,4,60
49,Cotton Fiber Wrap,1,5,3,9,3,75
50,Light Paper Sleeve,1,4,2,8,3,85
